episode_id,case_id,case_type,customer_tier,urgency,category,decision_agent,expected_decision,outcome,error_type,decision_time_s,memories_retrieved_n,config
EP_MEM_001,C001,base,regular,low,Información,A3,A3,correcto,N/A,7.5088,2,with_memory
EP_MEM_002,C002,base,regular,low,Información,A3,A3,correcto,N/A,72.4598,2,with_memory
EP_MEM_003,C003,base,regular,low,Información,A3,A3,correcto,N/A,37.879,2,with_memory
EP_MEM_004,C004,base,regular,high,Facturación,A1,A1,correcto,N/A,7.6687,2,with_memory
EP_MEM_005,C005,base,gold,high,Facturación,A1,A1,correcto,N/A,8.8394,2,with_memory
EP_MEM_006,C006,base,regular,high,Técnico,A2,A2,correcto,N/A,7.3953,2,with_memory
EP_MEM_007,C007,base,gold,high,Técnico,A2,A2,correcto,N/A,7.7378,2,with_memory
EP_MEM_008,C008,base,gold,high,Seguridad,A2,A2,correcto,N/A,9.4937,2,with_memory
EP_MEM_009,C009,base,regular,low,Facturación,A4,A4,correcto,N/A,7.258,2,with_memory
EP_MEM_010,C010,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.7925,2,with_memory
EP_MEM_011,C011,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,12.7193,2,with_memory
EP_MEM_012,C012,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,9.1946,2,with_memory
EP_MEM_013,C013,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,10.3143,2,with_memory
EP_MEM_014,C014,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,7.6411,2,with_memory
EP_MEM_015,C015,base,regular,low,Soporte,A3,A3,correcto,N/A,8.1226,2,with_memory
EP_MEM_016,C016,base,gold,low,Información,A3,A3,correcto,N/A,7.569,2,with_memory
EP_MEM_017,C017,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,8.0165,2,with_memory
EP_MEM_018,C018,VIP,VIP,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,8.4628,2,with_memory
EP_MEM_019,C019,VIP,VIP,low,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.4134,2,with_memory
EP_MEM_020,C020,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,8.5237,2,with_memory
EP_MEM_021,C021,VIP,VIP,high,Facturación,A1,A1,correcto,N/A,8.5375,2,with_memory
EP_MEM_022,C022,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,8.8026,2,with_memory
EP_MEM_023,C023,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,7.5356,2,with_memory
EP_MEM_024,C024,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.709,2,with_memory
EP_MEM_025,C025,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,8.5286,2,with_memory
EP_MEM_026,C026,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,8.1148,2,with_memory
EP_MEM_027,C027,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,11.0028,2,with_memory
EP_MEM_028,C028,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,8.2999,2,with_memory
EP_MEM_029,C029,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,11.1769,2,with_memory
EP_MEM_030,C030,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,10.2275,2,with_memory
EP_MEM_031,C031,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,10.7399,2,with_memory
EP_MEM_032,C032,ambiguo,gold,medium,Soporte,A2,A2,correcto,N/A,9.3185,2,with_memory
EP_MEM_033,C033,ambiguo,regular,medium,Información,A2,A3,incorrecto,ERROR_DECISION_INCORRECTA,10.6423,2,with_memory
EP_MEM_034,C034,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,8.21,2,with_memory
EP_MEM_035,C035,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,11.3674,2,with_memory
EP_MEM_036,C036,ambiguo,gold,low,Soporte,A3,A3,correcto,N/A,10.2137,2,with_memory
EP_MEM_037,C037,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,8.7683,2,with_memory
EP_MEM_038,C038,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,8.7457,2,with_memory
EP_MEM_039,C039,ambiguo,regular,medium,Facturación,A1,A1,correcto,N/A,9.1986,2,with_memory
EP_MEM_040,C040,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,8.6345,2,with_memory
EP_MEM_041,C041,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,9.7056,2,with_memory
EP_MEM_042,C042,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,8.6911,2,with_memory
EP_MEM_043,C043,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,10.5504,2,with_memory
EP_MEM_044,C044,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,9.0844,2,with_memory
EP_MEM_045,C045,control_aislado,gold,low,Soporte,A3,A3,correcto,N/A,12.3732,2,with_memory
EP_MEM_046,C046,control_aislado,regular,low,Información,A3,A3,correcto,N/A,41.1256,2,with_memory
