episode_id,case_id,case_type,customer_tier,urgency,category,decision_agent,expected_decision,outcome,error_type,decision_time_s,memories_retrieved_n,config
EP_MEM_001,C001,base,regular,low,Información,A3,A3,correcto,N/A,7.579,2,with_memory
EP_MEM_002,C002,base,regular,low,Información,A3,A3,correcto,N/A,7.6386,2,with_memory
EP_MEM_003,C003,base,regular,low,Información,A3,A3,correcto,N/A,6.5625,2,with_memory
EP_MEM_004,C004,base,regular,high,Facturación,A1,A1,correcto,N/A,6.818,2,with_memory
EP_MEM_005,C005,base,gold,high,Facturación,A1,A1,correcto,N/A,6.9384,2,with_memory
EP_MEM_006,C006,base,regular,high,Técnico,A2,A2,correcto,N/A,6.8232,2,with_memory
EP_MEM_007,C007,base,gold,high,Técnico,A2,A2,correcto,N/A,6.7979,2,with_memory
EP_MEM_008,C008,base,gold,high,Seguridad,A2,A2,correcto,N/A,7.4688,2,with_memory
EP_MEM_009,C009,base,regular,low,Facturación,A4,A4,correcto,N/A,7.7797,2,with_memory
EP_MEM_010,C010,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,6.9535,2,with_memory
EP_MEM_011,C011,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,11.3424,2,with_memory
EP_MEM_012,C012,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,37.8521,2,with_memory
EP_MEM_013,C013,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,7.8005,2,with_memory
EP_MEM_014,C014,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,7.4555,2,with_memory
EP_MEM_015,C015,base,regular,low,Soporte,A3,A3,correcto,N/A,38.876,2,with_memory
EP_MEM_016,C016,base,gold,low,Información,A3,A3,correcto,N/A,7.1036,2,with_memory
EP_MEM_017,C017,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,15.9613,2,with_memory
EP_MEM_018,C018,VIP,VIP,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,8.2025,2,with_memory
EP_MEM_019,C019,VIP,VIP,low,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,9.5887,2,with_memory
EP_MEM_020,C020,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,9.3312,2,with_memory
EP_MEM_021,C021,VIP,VIP,high,Facturación,A1,A1,correcto,N/A,11.783,2,with_memory
EP_MEM_022,C022,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.8424,2,with_memory
EP_MEM_023,C023,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,7.9879,2,with_memory
EP_MEM_024,C024,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.628,2,with_memory
EP_MEM_025,C025,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,6.8775,2,with_memory
EP_MEM_026,C026,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,12.2552,2,with_memory
EP_MEM_027,C027,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,10.1327,2,with_memory
EP_MEM_028,C028,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,9.7423,2,with_memory
EP_MEM_029,C029,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,7.8055,2,with_memory
EP_MEM_030,C030,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,15.5892,2,with_memory
EP_MEM_031,C031,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,9.5395,2,with_memory
